smiles_parents,LogKOH,Class
ClC(C(Cl)(Cl)Cl)Cl,7,halogeneted
N#CC#N,7,nitrile
C(Cl)(Br)C(F)(F)F,7.114,halogeneted
C(C)#N,7.342,nitrile
C(C)(=O)O,7.362,carboxyl
C(CC(=O)O)(=O)O,7.38,dicarboxylic
FC(F)OC(Cl)C(F)(F)F,7.38,halogeneted
N(CC(=O)O)CC(=O)O,7.69,amine
C1CO1,7.833,cyclo
[N+](=O)([O-])C(C)C,7.903,nitro
BrC[N+](=O)[O-],7.922,nitro
ClC(C)(Cl)Cl,8,halogeneted
CC(=O)C,8.041,ketone
C(CCC(=O)O)(=O)O,8.041,dicarboxylic
ClC(Cl)CCl,8.041,halogeneted
C(C)(=O)OC,8.079,ester
C,8.079,alkane
C(C(O)C(=O)O)(=O)O,8.23,dicarboxylic
C(C)(=O)N,8.279,amide
ClC[N+](=O)[O-],8.288,nitro
ClCCCl,8.301,halogeneted
CP(OC)(OC)=O,8.301,phosphorus
COC1=NC(=NC(=N1)OC)OC,8.314,triazine
BrC(C(Br)Br)Br,8.342,halogeneted
FC(CO)(F)F,8.362,halogeneted
[N+](=O)([O-])CCC,8.398,nitro
C1C(C)O1,8.398,cyclo
BrCCBr,8.415,halogeneted
CC(C(C)=O)=O,8.447,ketone
C(CC)(=O)O,8.505,carboxyl
C(CCC#N)#N,8.58,nitrile
C(C)(=O)OCC,8.602,ester
ClCC(C)Cl,8.602,halogeneted
ClC(CO)(Cl)Cl,8.623,halogeneted
BrC([N+](=O)[O-])Cl,8.623,nitro
C(C(O)C)(=O)O,8.633,carboxyl
N(=O)N(C)C,8.633,"nitroso, nitramine"
C(C)(=O)OC(C)C,8.653,ester
C(C1CO1)O,8.672,cyclo
BrC([N+](=O)[O-])Br,8.677,nitro
O=NN(CC)C,8.695,"nitroso, nitramine"
CC(=O)C=O,8.724,aldehyde
C(C=O)(=O)O,8.771,aldehyde
CP(OCC)(OCC)=O,8.778,phosphorus
CC(C)(C)O,8.778,alcohol
CC(C=O)=O,8.812,aldehyde
CC(C(=O)O)(C)C,8.813,carboxyl
CCN(N=O)CC,8.844,"nitroso, nitramine"
C(C(O)C(O)C(=O)O)(=O)O,8.845,dicarboxylic
C(CC)(=O)N,8.845,amide
C(C(=O)C)CC(C)=O,8.881,ketone
CCN(C)[N+]([O-])=O,8.881,"nitroso, nitramine"
COC(C(=O)O)(C)C,8.888,carboxyl
C(#N)C1=CC=C(C=C1)C#N,8.892,benzene
C(C(O)CC(=O)O)(=O)O,8.914,dicarboxylic
COC(CO)(C)C,8.924,ether
C(CC)(=O)OCC,8.94,ester
C(C)(=O)OCCO,8.959,ester
C(C)=O,8.978,aldehyde
ClCCO,8.978,halogeneted
CO,8.987,alcohol
COC,9,ether
FC1=C(C(=C(C(=C1C(=O)O)F)F)F)F,9.041,benzene
BrC=1C=NC=CC1,9.041,pyridine
COCOC,9.079,ether
C1(C=CC(C=C1)=O)=O,9.079,alkene
CNC(=S)NC,9.079,urea
C(O)O,9.114,diol
CC(C(C)O)O,9.114,diol
COCCO,9.114,ether
OC(C(=O)O)CC,9.114,carboxyl
OC(C(=O)N)C,9.114,amide
C(C)N(O)CC,9.114,amine
ClC1=CC=C(C=C1)[N+](=O)[O-],9.114,benzene
CC(CC(=O)O)C,9.146,carboxyl
FC1=C(C(=C(C(=C1F)F)F)F)F,9.146,benzene
N1=CC(=CC=C1)CC(=O)N,9.146,pyridine
CC(C(=O)N)(C)C,9.176,amide
OCC(CO)(CO)N,9.176,amine
O1COCOC1,9.176,cyclo
C(C=C)(=O)O,9.176,alkene
FC1=C(C(=C(C(=C1C(C)=O)F)F)F)F,9.176,benzene
COCCOC,9.204,ether
C(C)OCOCC,9.204,ether
C(C(C)C)(=O)N,9.204,amide
CNC(C)=O,9.204,amide
N1=CC=C(C=C1)C(=O)N,9.204,pyridine
C(C(C)O)O,9.23,diol
C(C)OCCO,9.23,ether
C1(CCCCCC1)O,9.23,cyclo
BrC1=C(C)C=CC=C1,9.23,benzene
ClC=1C=C(C)C=CC1Cl,9.23,benzene
N(=O)N1CCCC1,9.243,"nitroso, nitramine"
CC,9.255,alkane
CC(OCCCC)=O,9.255,ester
ClC1=NC=CC=C1,9.255,pyridine
CC(C)(CC)O,9.279,alcohol
C(C)(C)(CC)O,9.279,alcohol
CC(CCC)=O,9.279,ketone
