smiles_parents,LogKOH
CC,9.255
CCC,9.556
CCCC,9.663
CCCCC,9.732
CCCCCCC,9.886
CCCCCCCC,9.959
CC(C)CC,9.716
C(C)C(CC)CC,9.771
CC(C)(CC(C)C)C,9.785
CO,8.987
C(CC)O,9.505
C(CCC)O,9.623
C(CCCCC)O,9.845
C(CCCCCC)O,9.869
CC(CO)C,9.519
CC(C)(CC)O,9.279
CC(CO)(C)C,9.716
CC(CCO)C,9.58
CC(CC)O,9.544
C(C)(C)(CC)O,9.279
C(O)O,9.114
C(CO)O,9.38
C(C(C)O)O,9.23
C(CCO)O,9.398
C(CCCO)O,9.505
CC(C(C)O)O,9.114
C(CCCCO)O,9.556
CC(CC(C)O)O,9.362
C(CCCCCO)O,9.672
OCC(O)CO,9.301
COC(C)OC,9.342
COC,9
C(C)OCC,9.462
C(C)(C)OC(C)C,9.396
COC(C)(C)CC,9.375
C(C)OCCOCCOCC,9.505
COCCOC,9.204
C(C)OCOCC,9.204
COCOC,9.079
COC(CO)(C)C,8.924
COCCO,9.114
C(C)OCCO,9.23
C(COCCO)O,9.322
CC(C(C)=O)=O,8.447
CC(=O)C,8.041
CC(CCC)=O,9.279
OC(C(C)=O)C,9.462
CC(=O)CC(C)C,9.322
C(C(=O)C)CC(C)=O,8.881
C(C)=O,8.978
C(CC)=O,9.342
COC(C=O)(C)C,9.601
CC(O)(C=O)C,9.477
CC(=O)C=O,8.724
C(C=O)(=O)O,8.771
CC(C=O)=O,8.812
C(C)(=O)OC,8.079
C(C)(=O)OCC,8.602
C(CC)(=O)OCC,8.94
C(C)(=O)OCCO,8.959
C(C)(=O)OC(C)C,8.653
CC(OCCCC)=O,9.255
C(CC)(=O)O,8.505
C(CCC)(=O)O,9.342
CC(CC(=O)O)C,9.146
CC(C(=O)O)(C)C,8.813
COC(C(=O)O)(C)C,8.888
C(C(O)C)(=O)O,8.633
OC(C(=O)O)CC,9.114
C(C)(=O)O,7.362
C(CC(=O)O)(=O)O,7.38
C(CCC(=O)O)(=O)O,8.041
C(CCCCC(=O)O)(=O)O,9.301
C(CCCCCCC(=O)O)(=O)O,9.681
C(CCCCCCCC(=O)O)(=O)O,9.732
OC(CCCCCCCCC(O)=O)=O,9.806
C(C(O)C(O)C(=O)O)(=O)O,8.845
C(C(O)C(=O)O)(=O)O,8.23
C(C(O)CC(=O)O)(=O)O,8.914
ClCC(=O)O,7.633
ClCCl,7.763
BrC(Cl)Cl,7.851
ClC(Br)Br,7.919
BrCCBr,8.415
ClCCCl,8.301
ClC(C(Cl)(Cl)Cl)Cl,7
BrC(C(Br)Br)Br,8.342
ClC(Cl)CCl,8.041
ClC(C)(Cl)Cl,8
ClCCC,9.398
BrCCCBr,9.613
ClCC(C)Cl,8.602
ClCCCC,9.531
ClCCO,8.978
ClC(CO)(Cl)Cl,8.623
FC(CO)(F)F,8.362
ClC(C(O)O)(Cl)Cl,9.491
C(Cl)(Br)C(F)(F)F,7.114
C(Cl)(Cl)Cl,7.146
ClC(C(F)(F)F)Cl,7.114
FC(F)OC(Cl)C(F)(F)F,7.38
CSC,10.279
C(C)SCC,10.146
CCSSCC,10.146
CSCCC=O,9.914
S(CCO)CCO,10.301
S(CC(=O)O)CC(=O)O,9.778
CS(=O)C,9.813
C(C)S(=O)CC,9.813
C(CC)S(=O)CCC,9.799
CS(CSC)=O,9.681
OCCC(CCO)=O,9.724
C(C)(C)S(=O)C(C)C,9.833
SC(C)O,9.833
C(CS)(=O)OC,10.255
SC[C@@H](O)[C@H](O)CS,10.176
C(C)#N,7.342
N#CC#N,7
C(CCC#N)#N,8.58
[N+](=O)([O-])CCC,8.398
[N+](=O)([O-])C(C)C,7.903
ClC[N+](=O)[O-],8.288
BrC[N+](=O)[O-],7.922
BrC([N+](=O)[O-])Br,8.677
BrC([N+](=O)[O-])Cl,8.623
C(C)(=O)N,8.279
OC(C(=O)N)C,9.114
C(CC)(=O)N,8.845
CC(C(=O)N)(C)C,9.176
C(C(C)C)(=O)N,9.204
CNC(C)=O,9.204
C(CCC)NC=O,9.279
CNC(C(C)(C)C)=O,9.38
CNC(C(C)C)=O,9.279
CN(C(C)=O)C,9.544
CN(C(C(C)(C)C)=O)C,9.591
CN,9.756
C(C)N,9.806
C(CC)N,9.863
C(CN)N,9.74
C(C)(C)(C)N,9.778
C(CCCC)N,9.845
C(CCCCCCC)N,10.164
C(C)(C)N,10.114
CON,10.146
CNC,9.949
C(CCC)NCCCC,10.255
N(CC(=O)O)CC(=O)O,7.69
C(C)N(O)CC,9.114
C(CCC)N(CCCC)CCCC,10.23
C(C)N(CC)CC,10
CN(C)C,10.114
N(CCO)(CCO)CCO,9.903
N(CC(=O)O)(CC(=O)O)CC(=O)O,9.322
CN(N)C,10.204
OCC(CO)(CO)N,9.176
N(=O)N(C)C,8.633
O=NN(CC)C,8.695
CCN(N=O)CC,8.844
CCN(C)[N+]([O-])=O,8.881
N(=O)N(CCC)CCC,9.362
N(=O)N(CCCC)CCCC,9.673
N(=O)CCNCCCC,9.491
N(=O)N1CCCC1,9.243
N(=O)N1CCCCC1,9.474
O=[N+](N1CCCCCC1)[O-],9.638
CP(OC)(OC)=O,8.301
CP(OCC)(OCC)=O,8.778
P(=O)(OCC)(OCC)OCC,9.462
P(=O)(OCCCC)(OCCCC)OCCCC,10
C1CCCCCC1,9.886
C1(CCCCCC1)O,9.23
C1CCCC1,9.653
O1CCCC1,9.602
S1CCSCC1,10.255
O1COCOC1,9.176
C1CCCS1=O,9.845
CC1OCCO1,9.544
O1COCC1,9.602
C1CO1,7.833
C1C(C)O1,8.398
C(C1CO1)O,8.672
C(C=C)O,9.771
C=CCC,9.845
C=CC,9.845
C1=CCC=CC1,9.886
C1CCCC1,9.845
C=CC(C)=O,9.929
C(C=C)(=O)N,9.771
C(C=C)(=O)NC,10.114
C1(C=CC(C=C1)=O)=O,9.079
C(=O)C=C,9.845
C(\C=C\C)=O,9.763
C(C=C)(=O)O,9.176
C(\C=C/C(=O)O)(=O)O,9.778
C(\C=C\C(=O)O)(=O)O,9.778
C(C(=C)C)(=O)OC,10.041
C(=C)Cl,10.079
C(=C)Cl,9.833
ClC=CCl,9.58
ClC=CCl,9.643
O=C(C(F)=C1F)C(F)=C(F)C1=O,9.591
C(C=C)C#N,9.839
C(C(=C)C)#N,10.079
C1(=CC=CC=C1)O,9.82
ClC1=CC=CC=C1,9.633
IC1=CC=CC=C1,9.724
[N+](=O)([O-])C1=CC=CC=C1,9.591
C(C)(=O)C1=CC=CC=C1,9.806
C(C1=CC=CC=C1)(=O)N,9.663
C(C1=CC=CC=C1)O,9.924
C(C)(=O)NC1=CC=CC=C1,9.716
C1(=CC=CC=C1)NO,10.176
CC(C(O)C1=CC=CC=C1)C,9.978
C1(=CC=CC=C1)C(C)O,10.041
C1(=CC=CC=C1)CC(C)O,10.322
C1(=CC=CC=C1)OC,9.732
C1(=CC=CC=C1)NC1=CC=CC=C1,10
C1(=CC=CC=C1)C(CC)O,10
C1(=CC=CC=C1O)C,10.041
C1=CC(=CC=C1O)C,10.079
ClC1=CC(=CC=C1)Cl,9.756
C=1(C(=CC=CC1)O)O,10.041
C1(O)=CC(O)=CC=C1,10.079
ClC=1C=C(C=CC1)O,9.857
ClC1=CC=C(C=C1)O,9.968
COC=1C=C(C=CC1)O,10.505
COC1=CC=C(C=C1)O,10.415
[N+](=O)([O-])C1=CC=C(C=C1)O,9.58
C(#N)C1=CC=C(C=C1)C#N,8.892
FC1=CC=C(C#N)C=C1,9.544
C(C)(C)(C)C1=C(C=CC=C1)O,10.279
FC1=C(C=CC=C1)F,9.875
FC1=CC=C(C=C1)F,10
COC1=C(C=CC=C1)OC,9.716
COC1=CC=C(C=C1)OC,9.845
[N+](=O)([O-])C1=CC=C(N)C=C1,10.146
C1(=CC=C(C=C1)C#N)C,10.079
ClC1=CC=C(C=C1)[N+](=O)[O-],9.114
CC(C1=CC=C([N+]([O-])=O)C=C1)=O,9.519
C1(O)=CC(O)=CC(O)=C1,10
OC=1C=C(C=O)C=CC1O,9.919
OC1=CC(O)=C(C(C)=O)C=C1,10.477
OC1=C(C(C)=O)C=C(O)C=C1,9.903
CC(C1=CC=C(O)C(O)=C1)=O,10
COC1=C(C(=CC=C1)OC)OC,9.845
COC1=C(C=C(C=C1)OC)OC,9.792
COC1=CC(=CC(=C1)OC)OC,9.908
COC1=C(C=CC=C1OC)O,10.301
COC1=C(C=CC(=C1)OC)O,10.415
COC=1C=C(C=C(C1)OC)O,10.301
CC1=CC=CC=C1,9.708
NC1=CC=CC=C1,10.23
C=1(C(=CC=CC1)C)C,9.826
C1(=CC(=CC=C1)C)C,9.875
C1(=CC=C(C=C1)C)C,9.845
CC1=C(C(=CC=C1)C)C,9.845
CC1=C(C=C(C=C1)C)C,9.792
CC1=CC(=CC(=C1)C)C,9.806
FC1=C(C(=C(C(=C1F)F)F)F)F,9.146
CC1=C(C(=C(C(=C1C)C)C)C)C,9.857
FC=1C(=C(C(=C(C1)F)F)F)F,9.845
CC=1C(=C(C(=C(C1)C)C)C)C,9.875
CC1=C(C(=C(C=C1)C)C)C,9.857
FC1=C(C(=C(C=C1)F)F)F,9.903
CC1=C(C(=CC(=C1)C)C)C,9.851
CC1=C(C=C(C(=C1)C)C)C,9.845
COC1=C(C=C(C(=C1)OC)OC)OC,9.845
ClC1=C(C=C(C(=C1)Cl)Cl)O,10.079
ClC1=C(OCC(=O)O)C=CC(=C1)Cl,9.82
O(C1=CC=CC=C1)CC(=O)O,10
ClC1=C(C=CC(=C1)Cl)O,9.851
OC1=C(C=C(C=C1)O)O,9.934
C(C)(C)(C)C1=C(O)C=CC(=C1)O,9.799
ClC1=C(O)C=C(C(=C1)O)Cl,10.322
FC1=C(C(=C(C(=C1O)F)F)O)F,9.491
FC1=CC(=CC(=C1)F)F,9.613
FC1=C(C(=CC=C1)F)F,9.568
FC1=C(C=C(C=C1)F)F,9.591
FC1=C(C(=C(C(=C1C(C)=O)F)F)F)F,9.176
FC1=C(C(=C(C(=C1C=O)F)F)F)F,9.301
FC1=C(C(=C(C(=C1C(=O)O)F)F)F)F,9.041
FC1=C(C(=C(C(=C1N)F)F)F)F,9.982
FC1=C(C(=C(C(=C1O)F)F)F)F,9.978
CC1=NC=CC=C1,9.398
NC1=NC=CC=C1,9.924
NC1=CC=NC=C1,9.699
BrC=1C=NC=CC1,9.041
ClC1=NC=CC=C1,9.255
ClC1=CC=NC=C1,9.491
N1C(C=CC=C1)=O,9.813
N1=CC(=CC=C1)O,9.732
N1=CC=C(C=C1)O,10.041
N1=C(C=CC=C1)C1=NC=CC=C1,9.792
N1=CC=C(C=C1)C(=O)N,9.204
N1=CC(=CC=C1)CC(=O)N,9.146
CC1=NC(=CC=C1)C,9.477
CC=1C=NC=C(C1)C,9.903
CC1=NC(=CC(=C1)C)C,9.398
CC=1OC=CC1,10.279
C(C1=CC=CO1)O,10.176
CC1=CC=C(C=O)O1,9.857
OCC1=CC=C(C=O)O1,9.763
[N+](=O)([O-])C1=CC=C(O1)C=O,9.74
CN(C(N(C)C)=S)C,9.903
CNC(=S)NC,9.079
CNC(=O)N,9.301
CN(C(N(C)C)=O)C,9.716
N1C(=O)NC=2N=CNC2C1=O,9.716
O=C1C(NC=N2)=C2N(C)C(N1C)=O,9.799
N1C(N)=NC=2N=CNC2C1=O,9.964
N1C=NC=C1,9.591
CN1C=NC=C1,9.908
N1(C)C(=O)N(C)C=2N=CN(C)C2C1=O,9.839
[N+](=O)([O-])C1=CC=C(O1)C(=O)O,9.724
O=[N+](C1=CC=C(C=NO)O1)[O-],10
C(C)(=O)C=1OC=CC1,9.653
O1C(=CC=C1)C(=O)N,9.74
BrC1=CC=C(C=O)O1,9.591
[N+](=O)([O-])C1=CC=C(O1)C(=O)O,9.724
OC(C1=CC=CO1)C(C2=CC=CO2)=O,10.114
COC1=NC(=NC(=N1)OC)OC,8.314
ClC1=NC(NCC)=NC(NCC)=N1,9.322
ClC1=NC(NCC)=NC(NC(C)C)=N1,9.301
CCNC1=NC(OC)=NC(NCC)=N1,9.672
CCNC1=NC(SC)=NC(NCC)=N1,10.415
CCNC1=NC(SC)=NC(NC(C)C)=N1,10.415
O=C1[C@H](N)CON1,9.954
ClC1=CC(NC(N(C)OC)=O)=CC=C1Cl,9.813
CN(C)C(NC1=CC=C(C(C)C)C=C1)=O,9.756
CC1=C(Cl)C=C(NC(N(C)C)=O)C=C1,9.875
OC1=CC=C(NC(C)=O)C=C1,9.991
ClC1=CC=C(C(C(C2=CC=CC=C2)=NC3)=C1)N(C)C3=O,9.857
OC(=O)C(C)C1=CC=C(CC(C)C)C=C1,9.869
ClC1=C(OCC(=O)O)C=CC(=C1)Cl,9.82
C(C)(C)(C)C1=CC=C(C=C1)O,10.279
CC1=C(C=CC=C1C)O,10.301
CC=1C=C(C=C(C1)C)O,10.301
C,8.079
CC1CCCC1,9.845
CC(C)(C)O,8.778
C(CCCC)O,9.591
CCC(CC)O,9.322
C(CCCCCCC)O,9.886
N(=NC1=CC=CC=C1)C1=CC=CC=C1,10.301
C1=CC=CC=C1,9.892
C1(=CC=CC=C1)S(=O)(=O)N,9.447
COCC1=CC=CC=C1,10
C1(=CC=CC=C1)C1=CC=CC=C1,10
BrC1=C(C=CC=C1)Cl,9.301
BrC1=C(C)C=CC=C1,9.23
BrC=1C=C(C)C=CC1,9.69
ClC1=CC(=CC=C1)OC,9.968
ClC1=C(CCl)C=CC=C1,9.613
ClC1=C(C)C=CC=C1,9.813
ClC=1C=C(C)C=CC1,9.544
ClC1=CC=C(C)C=C1,9.74
BrC1=CC(=CC=C1)Br,9.279
ClC=1C=C(C)C=CC1Cl,9.23
COC1=C(C(=CC=C1)OC)O,10.415
C1(=CC=C(C=C1)O)O,10.322
ClC1=C(C)C=CC(=C1Cl)Cl,9.398
C1=CC=CC2=CC=CC=C12,9.973
C1=C(C=CC2=CC=CC=C12)O,10.114
N1N=NC2=C1C=CC=C2,9.881
CN(C1=CC2=[S+]C3=CC(N(C)C)=CC=C3N=C2C=C1)C,10.079
CC(C)C,9.663
CCCCCC,9.82
C(C)O,9.322
CC(C)(C)O,8.845
CC(C)O,9.279
C(C)(O)O,9.079
C(CC(C)O)O,9.342
COCOC,8.505
C(C)(C)(C)OCC,9.255
C(C)OC=COCC,9.362
CC(CC)=O,8.908
CCC(CC)=O,9.146
C(CCC)=O,9.591
CC(C=O)C,9.462
C(C)(=O)OCCC,9.146
C(CC)(=O)OC,9.653
C(CO)(=O)O,8.732
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)O,9.114
C(CCCC(=O)O)(=O)O,8.919
C(CC(O)(C(=O)O)CC(=O)O)(=O)O,7.699
BrCBr,7.996
BrC(Br)Br,8.176
ClC(C)Cl,8.114
ClC(Cl)C(Cl)Cl,8.255
ClCC(CBr)Cl,8.863
BrCCO,8.544
CSSC,10.23
CSCCO,9.898
C(CCC)S(=O)CCCC,9.903
SCC(=O)O,9.079
C(CC)#N,7.968
ClC([N+](=O)[O-])Cl,8.709
C(CO)(=O)N,9.041
CC(C(=O)N)C,9.204
CC(C)(N([H])C(C)=O)C,9.041
CNC(CC)=O,9.146
NCC(=O)N,9.447
C(CCC)N,9.914
C(CCCCC)N,10.114
N(=O)N(C)C,8.736
CCN(CC)[N+]([O-])=O,8.938
P(=O)(OC)(OC)OC,8.079
C1CCCCC1,9.785
O1CCOCC1,9.491
C1C(CC)O1,8.892
CC(C)=C,9.732
C1CCCCC1,9.944
C(=C)O,9.176
C(C=C)(=O)OCCO,10.041
ClC(=C(Cl)Cl)Cl,9.301
C(C=C)#N,9.724
FC1=CC=CC=C1,9.756
BrC1=CC=CC=C1,9.716
C(C1=CC=CC=C1)#N,9.591
C(C1=CC=CC=C1)(=O)O,9.633
C1(=CC=CC=C1)S(=O)C,9.987
CC(C)(CCC1=CC=CC=C1)O,9.771
C1(=CC=CC=C1)C(CC)O,10
C1(=CC=CC=C1)S(=O)C1=CC=CC=C1,9.799
ClC1=C(C=CC=C1)Cl,9.602
ClC1=C(C=CC=C1)O,10.079
C(C)C1=CC=CC=C1,9.875
C(C1=CC=CC=C1)=O,9.643
C1(=CC=CC=C1)S(=O)(=O)O,9.322
C(C1=CC=CC=C1)(=O)C1=CC=CC=C1,9.954
ClC1=CC=C(C=C1)Cl,9.732
COC1=C(C=CC=C1)O,10.301
C1(=CC=C(C=C1)C#N)C,10.079
COC1=CC(=CC=C1)OC,9.857
ClC=1C=C(C(O)=CC1)O,9.845
[N+](=O)([O-])C=1C=C(C=C(C1)[N+](=O)[O-])OC,9.716
CC=1C=NC=CC1,9.38
BrC1=NC=CC=C1,9.38
C(#N)C=1C=NC=CC1,8.875
N1=CC=C(C=C1)C1=CC=NC=C1,9.724
O1C(=CC=C1)C=O,9.892
CNC(=O)NC,9.415
N1C(=O)N=C2N=CNC2=C1N,10.079
N1C(=O)N(C)C=2N=CN(C)C2C1=O,9.763
C1(=CC=CC=C1)C=1OC=CC1,10.204
ClC1=NC(NC(C)C)=NC(NC(C)C)=N1,9.079
ClC1=NC(NCC)=NC(NC(C)(C)C)=N1,9.447
ClC1=CC(NC(N(C)C)=O)=CC=C1Cl,9.875
ClC1=CC=CC(Cl)=C1NC2=CC=CC=C2CC(O)=O,9.875
CC1CCCCC1,9.851
CC1=C(C(=CC=C1)C)O,10.415
C1(=CC=C(N)C=C1)C1=CC=C(N)C=C1,10.176
BrC1=CC=C(C)C=C1,9.462
BrC1=C(C=CC=C1)Br,9.362
CC1=NC=CC(=C1)C,9.491
C1(=CC=CC2=CC=CC=C12)O,10.114
